critic loss,actor loss,entropy,estimated rewards,real rewards
0.7382085919380188,-1.1592897176742554,1.377874493598938,-0.10584251582622528,0.5892260670661926
1.0462414026260376,-0.9048464894294739,1.3788740634918213,-0.10829639434814453,0.7137141227722168
2.9587743282318115,-2.217792510986328,1.3832703828811646,-0.051583416759967804,-1.7238757610321045
2.1935250759124756,-2.021214723587036,1.3830933570861816,-0.09317133575677872,-0.949597954750061
2.0367746353149414,-1.97355055809021,1.384826421737671,-0.05002214014530182,-1.540736198425293
0.1252608299255371,-0.42153191566467285,1.3824758529663086,-0.09271791577339172,1.6697003841400146
0.9892488718032837,-1.3677605390548706,1.3857464790344238,-0.038572702556848526,-0.834012508392334
0.34590068459510803,-0.02170136570930481,1.3858767747879028,-0.03929173946380615,-0.9368982315063477
0.43561553955078125,-0.9640938639640808,1.3850040435791016,-0.04881551116704941,-2.3796679973602295
0.17522983253002167,0.27209341526031494,1.3806142807006836,-0.04822392761707306,-2.3461999893188477
2.3628475666046143,0.20378132164478302,1.3822482824325562,-0.047515805810689926,-2.652679443359375
1.0350401401519775,-1.506821870803833,1.38121497631073,-0.047118641436100006,-2.631161689758301
0.6638779640197754,-0.92084139585495,1.3768208026885986,-0.11021137982606888,-1.0428229570388794
0.863025426864624,-1.330325722694397,1.3826642036437988,-0.03857513144612312,-1.8586524724960327
0.5224841237068176,-0.8359500169754028,1.3821429014205933,-0.09149620682001114,-0.20319576561450958
